모든 자료 출처,,기후에너지환경부_한강홍수통제소_실시간수문자료,,,,,https://www.hrfco.go.kr/sumun/boList.do,,,,,,,,,,,,,,,,,
,여주보(상류)_수위,,,여주보(하류)_수위,,,여주시(여주대교)_강수량,,,,,여주시(주암리)_강수량,,원주시(문막교)_수위,,,충주댐_댐,,,충주시(수안보면사무소)_강수량,,충주조정지댐_댐,,
,www.hrfco.go.kr/sumun/wlpopup.do?obscd=1007639&ymdhm=202605142340&allRegions=N&type=10M,,,www.hrfco.go.kr/sumun/wlpopup.do?obscd=1007641&ymdhm=202605142340&allRegions=N&type=10M,,,www.hrfco.go.kr/sumun/rfpopup.do?obscd=10074030&ymdhm=202605142340&allRegions=N&type=10M,,,,,www.hrfco.go.kr/sumun/rfpopup.do?obscd=10074100&ymdhm=202605142340&allRegions=N&type=10M,,www.hrfco.go.kr/sumun/wlpopup.do?obscd=1006690&ymdhm=202605142340&allRegions=N&type=10M,,,www.hrfco.go.kr/sumun/dampopup.do?obscd=1003110&ymdhm=202605142340&allRegions=N&type=10M,,,www.hrfco.go.kr/sumun/rfpopup.do?obscd=10044020&ymdhm=202605142340&allRegions=N&type=10M,,www.hrfco.go.kr/sumun/dampopup.do?obscd=1003611&ymdhm=202605142340&allRegions=N&type=10M,,
시간,여주보(상류)_수위_수위(m),여주보(상류)_수위_유량(m³/s),여주보(상류)_수위_해발수위(El.m),여주보(하류)_수위_수위(m),여주보(하류)_수위_유량(m³/s),여주보(하류)_수위_해발수위(El.m),여주시(여주대교)_강수량_강수량(mm),여주시(여주대교)_강수량_누적강수량(mm),여주시(여주대교)_수위_수위(m),여주시(여주대교)_수위_유량(m³/s),여주시(여주대교)_수위_해발수위(El.m),여주시(주암리)_강수량_강수량(mm),여주시(주암리)_강수량_누적강수량(mm),원주시(문막교)_수위_수위(m),원주시(문막교)_수위_유량(m³/s),원주시(문막교)_수위_해발수위(El.m),충주댐_댐_현재수위(EL.m),충주댐_댐_유입량(m³/s),충주댐_댐_방류량(m³/s),충주시(수안보면사무소)_강수량_강수량(mm),충주시(수안보면사무소)_강수량_누적강수량(mm),충주조정지댐_댐_현재수위(EL.m),충주조정지댐_댐_유입량(m³/s),충주조정지댐_댐_방류량(m³/s)
2026-05-11 0:30,33.17,,33.17,28.42,0,28.42,0,9,0.76,114.2,33.29,0,15,0.87,12.39,51.59,125.156,93.874,0.43,0,14,64.363,41.358,99.856
2026-05-11 0:40,33.17,,33.17,28.42,0,28.42,0,9,0.76,114.2,33.29,0,15,0.87,12.39,51.59,125.155,82.208,0.43,0,14,64.357,34.581,99.563
2026-05-11 0:50,33.17,,33.17,28.42,0,28.42,0,9,0.76,115.38,33.29,0,15,0.87,12.39,51.59,125.156,64.652,0.43,0,14,64.35,31.315,100.192
2026-05-11 1:00,33.17,,33.17,28.42,0,28.42,0,9,0.75,115.14,33.28,0,15,0.87,12.39,51.59,125.159,96.819,0.43,0,14,64.349,51.819,99.536
2026-05-11 1:10,33.17,,33.17,28.42,0,28.42,0,9,0.76,114.2,33.29,0,15,0.87,12.39,51.59,125.161,172.819,0.43,0,14,64.34,41.877,100.238
2026-05-11 1:20,33.17,,33.17,28.42,0,28.42,0,9,0.76,116.56,33.29,0,15,0.87,12.39,51.59,125.158,52.986,0.43,0,14,64.335,48.875,100.353
2026-05-11 1:30,33.17,,33.17,28.42,0,28.42,0,9,0.76,118.91,33.29,0,15,0.87,12.39,51.59,125.157,0,0.43,0,14,64.328,28.77,100.386
2026-05-11 1:40,33.17,,33.17,28.42,0,28.42,0,9,0.76,113.03,33.29,0,15,0.87,12.39,51.59,125.157,0,0.43,0,14,64.32,32.47,100.506
