시간,여주보(상류)_수위_수위(m),여주보(상류)_수위_유량(m³/s),여주보(상류)_수위_해발수위(El.m),여주보(하류)_수위_수위(m),여주보(하류)_수위_유량(m³/s),여주보(하류)_수위_해발수위(El.m),여주시(여주대교)_강수량_강수량(mm),여주시(여주대교)_강수량_누적강수량(mm),여주시(여주대교)_수위_수위(m),여주시(여주대교)_수위_유량(m³/s),여주시(여주대교)_수위_해발수위(El.m),여주시(주암리)_강수량_강수량(mm),여주시(주암리)_강수량_누적강수량(mm),원주시(문막교)_수위_수위(m),원주시(문막교)_수위_유량(m³/s),원주시(문막교)_수위_해발수위(El.m),충주댐_댐_현재수위(EL.m),충주댐_댐_유입량(m³/s),충주댐_댐_방류량(m³/s),충주시(수안보면사무소)_강수량_강수량(mm),충주시(수안보면사무소)_강수량_누적강수량(mm),충주조정지댐_댐_현재수위(EL.m),충주조정지댐_댐_유입량(m³/s),충주조정지댐_댐_방류량(m³/s)
2025-12-01 0:00,33.1,,33.1,28.23,84.1,28.23,0,13,0.69,74.23,33.22,0,11,0.91,18.52,51.63,134.223,72.041,0.43,0,16,64.29,16.964,50.62
2025-12-01 0:10,33.1,,33.1,28.23,86.09,28.23,0,13,0.7,74.39,33.23,0,11,0.87,18.52,51.59,134.225,147.652,0.43,0,16,64.29,16.953,50.593
2025-12-01 0:20,33.1,,33.1,28.23,85.43,28.23,0,13,0.69,78.87,33.22,0,11,0.89,18.52,51.61,134.227,179.486,0.43,0,16,64.289,40.484,50.562
2025-12-01 0:30,33.1,,33.1,28.23,86.75,28.23,0,13,0.69,77.71,33.22,0,11,0.88,18.52,51.6,134.227,151.652,0.43,0,16,64.282,23.683,50.548
2025-12-01 0:40,33.1,,33.1,28.23,82.78,28.23,0,13,0.69,81.19,33.22,0,11,0.89,18.52,51.61,134.227,68.097,0.43,0,16,64.28,16.937,50.534
2025-12-01 0:50,33.1,,33.1,28.23,86.75,28.23,0,13,0.69,78.87,33.22,0,11,0.9,18.52,51.62,134.227,8.374,0.43,0,16,64.279,16.963,50.473
2025-12-01 1:00,33.1,,33.1,28.23,84.1,28.23,0,13,0.69,75.39,33.22,0,11,0.87,18.52,51.59,134.227,0.43,0.43,0,16,64.27,10.345,50.529
2025-12-01 1:10,33.1,,33.1,28.23,83.49,28.23,0,13,0.7,74.39,33.23,0,11,0.88,18.52,51.6,134.224,0,0.43,0,16,64.27,17.043,50.461
2025-12-01 1:20,33.1,,33.1,28.23,83.44,28.23,0,13,0.7,77.87,33.23,0,11,0.87,18.52,51.59,134.224,0,0.43,0,16,64.266,6.985,50.464
2025-12-01 1:30,33.1,,33.1,28.23,86.75,28.23,0,13,0.7,73.23,33.23,0,11,0.88,18.52,51.6,134.225,0,0.43,0,16,64.26,17.073,50.462
