시간,여주보(상류)_수위_수위(m),여주보(상류)_수위_유량(m³/s),여주보(상류)_수위_해발수위(El.m),여주보(하류)_수위_수위(m),여주보(하류)_수위_유량(m³/s),여주보(하류)_수위_해발수위(El.m),여주시(여주대교)_강수량_강수량(mm),여주시(여주대교)_강수량_누적강수량(mm),여주시(여주대교)_수위_수위(m),여주시(여주대교)_수위_유량(m³/s),여주시(여주대교)_수위_해발수위(El.m),여주시(주암리)_강수량_강수량(mm),여주시(주암리)_강수량_누적강수량(mm),원주시(문막교)_수위_수위(m),원주시(문막교)_수위_유량(m³/s),원주시(문막교)_수위_해발수위(El.m),충주댐_댐_현재수위(EL.m),충주댐_댐_유입량(m³/s),충주댐_댐_방류량(m³/s),충주시(수안보면사무소)_강수량_강수량(mm),충주시(수안보면사무소)_강수량_누적강수량(mm),충주조정지댐_댐_현재수위(EL.m),충주조정지댐_댐_유입량(m³/s),충주조정지댐_댐_방류량(m³/s)
2026-05-29 21:20,33.22,,33.22,28.49,129.12,28.49,0.0,0.0,0.81,112.09,0.81,0.0,0.0,0.83,9.66,0.83,124.967,113.72,141.578,0.0,0.0,64.47,183.676,113.261
2026-05-29 21:30,33.22,,33.22,28.49,129.85,28.49,0.0,0.0,0.81,108.18,0.81,0.0,0.0,0.83,9.66,0.83,124.968,159.732,127.91,0.0,0.0,64.47,155.529,113.289
2026-05-29 21:40,33.22,,33.22,28.49,130.58,28.49,0.0,0.0,0.81,110.79,0.81,0.0,0.0,0.83,9.66,0.83,124.97,174.483,38.796,0.0,0.0,64.471,141.495,113.268
2026-05-29 21:50,33.22,,33.22,28.49,129.12,28.49,0.0,0.0,0.81,112.09,0.81,0.0,0.0,0.83,9.66,0.83,124.973,226.545,0.43,0.0,0.0,64.48,148.528,113.028
2026-05-29 22:00,33.22,,33.22,28.49,124.74,28.49,0.0,0.0,0.81,109.48,0.81,0.0,0.0,0.83,9.66,0.83,124.975,192.441,0.43,0.0,0.0,64.48,148.396,112.894
2026-05-29 22:10,33.22,,33.22,28.49,123.2,28.49,0.0,0.0,0.8,109.27,0.8,0.0,0.0,0.83,9.66,0.83,124.975,151.374,0.43,0.0,0.0,64.489,176.58,112.819
2026-05-29 22:20,33.22,,33.22,28.49,126.09,28.49,0.0,0.0,0.81,108.18,0.81,0.0,0.0,0.83,9.66,0.83,124.975,40.652,0.43,0.0,0.0,64.49,148.258,112.728
2026-05-29 22:30,33.22,,33.22,28.49,124.64,28.49,0.0,0.0,0.81,106.88,0.81,0.0,0.0,0.83,9.66,0.83,124.974,0.0,0.43,0.0,0.0,64.496,169.431,112.578
2026-05-29 22:40,33.22,,33.22,28.49,128.27,28.49,0.0,0.0,0.81,105.57,0.81,0.0,0.0,0.83,9.66,0.83,124.973,0.0,0.43,0.0,0.0,64.5,151.693,112.605
2026-05-29 22:50,33.22,,33.22,28.49,125.37,28.49,0.0,0.0,0.81,105.57,0.81,0.0,0.0,0.83,9.66,0.83,124.974,0.0,0.43,0.0,0.0,64.5,148.09,112.587
